Andi;Non-derivable;
Godoberi;Non-derivable;
Tindi;Non-derivable;
Itsari;Non-derivable;
Hunzib;Non-derivable;
Tsakhur;Derived from 'say';
Bagvalal;Non-derivable;
Akhvakh;Derived from 'say';
Avar;Derived from 'say';
Zakataly;Derived from 'say';
Lak;Derived from 'say';
Dargwa;Derived from 'say';
Kubachi;Derived from 'say';
Mehweb;Derived from 'say';
Aghul;Derived from 'say';
Kryz;Derived from 'say';
Lezgian;Derived from 'say';
Rutul;Derived from 'say';
Tabassaran;Derived from 'say';
Udi;Derived from 'say';
Bezhta;Derived from 'say';
Hinuq;Derived from 'say';
Khwarshi;Derived from 'say';
Tsez;Derived from 'say';
Archi;Derived from 'say';
Khinalugh;Borrowed marking;
Budukh;Borrowed marking;
Bats;Non-derivable;
Chechen;Non-derivable;
Ingush;Non-derivable;
Botlikh;Attributivization;
Chamalal;Attributivization;
Karata;Attributivization;
